date,Baie au Saumon,Baie de Gaspe,Baie de plaisance,Baie des Belles Amours,Bassin du Havre Aubert,Cascapedia,Grande Riviere,Grande-Entree,Ile Bonaventure,La jetee de Cap-aux-Meules,Lagune de Havre-aux-Maisons,Marina de Cap-aux-Meules,Marina de Chandler,Marina de Gaspe,Marina de Havre Aubert,Marina de Havre St-Pierre,Marina de Rimouski,Marina de Sainte-Anne-des-Monts,Marina de Sept-iles,Marina de Tadoussac,Marina de l Anse-a-Beaufils,Marina du Havre-aux-Maisons,Mine Seleine,Mont-Louis,Newport,Port de Gros Cacouna,Port-Cartier Quai de Arcelor Mital,Quai CTMA Chandler,Quai Ivan Quinn,Quai commercial de Baie-Comeau,Quai commercial de Cap-aux-Meules,Quai de Mingan,Quai de Pointe-Basse,Quai de Sainte-Therese,Quai de la Relance,Quai des Pilotes des Escoumins,Quai des pecheurs de Cap-aux-Meules,Riviere au Renard,Site aquicole de Grande Entree,Site aquicole de Paspebiac,Site aquicole de Sept-Iles,St-Simeon,Tourelle,Tracadigache
2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.984,,,,
2015-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.894,,,,
2015-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.626,,,,
2015-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.171,,,,
2015-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,,,,
2015-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.935,,,,
2015-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.869,,,,
2015-06-09,,,,,,,,,,,,,,10.857,,,,,,,,,,,,,,,,,,,,,,,,9.851,,9.047,,,,
2015-06-10,,,,,,,,,,,,10.774,,13.025,11.995,,,,,,,11.32,,,,,,,,,10.494,,10.476,,,,,10.766,,9.599,,,,
2015-06-11,,,,,,,,11.083,,,,11.835,,12.788,13.55,,,,,,,12.604,13.931,,,,,,10.972,,11.625,,11.772,,,,,10.833,,10.148,,,,
2015-06-12,,,,,,,,11.047,,,,11.375,,13.425,11.793,,,,,,9.001,13.341,12.175,,,,,,9.177,,10.125,,11.716,7.746,,,,11.766,,10.083,,,,
2015-06-13,,,,,,,10.145,10.907,,,,8.484,,14.215,11.476,,,,,,9.777,12.246,11.914,,11.508,,,11.249,6.495,,7.057,,9.361,7.721,,,,12.225,,8.885,,,,
2015-06-14,,,,,,,9.659,11.281,,,,8.24,,13.946,11.293,,,,,,10.194,11.692,10.894,,10.846,,,9.904,7.383,,7.503,,8.438,8.484,,,,12.326,,9.934,,,,
2015-06-15,,,,,,,10.224,11.437,,,,9.614,,10.877,13.523,,,,,,10.453,11.615,13.063,,11.734,,,11.355,8.671,,9.418,,10.003,8.946,,,,12.303,,11.296,,,,
2015-06-16,,,,,,,11.286,10.887,,,,10.746,,12.376,13.201,,,,,,11.011,12.183,13.435,,12.379,,,11.338,10.54,,10.585,,10.653,8.576,,,,10.041,,10.74,,,,
2015-06-17,,,,,,,10.629,11.622,,,,11.245,,12.563,12.419,,,,10.909,,10.675,12.543,12.219,,10.35,,,10.864,10.063,,10.293,,10.884,9.483,10.743,,,11.339,,9.623,,,,
2015-06-18,,,,,,,11.486,11.979,,,,11.085,,11.939,14.386,,,,12.42,,11.29,12.306,14.463,,12.413,,,11.827,9.801,,10.519,,11.024,9.347,7.74,,,10.76,,9.321,,,,
2015-06-19,,,,,,,11.427,11.334,,,,11.009,,12.891,12.717,,,,9.41,,11.316,11.88,13.216,,12.67,,,12.255,10.553,,10.662,,10.702,8.865,8.457,,,11.251,,9.673,,,,
2015-06-20,,,,,,,11.603,11.651,,,,10.483,,12.952,12.152,5.975,,,8.845,,11.382,11.767,11.971,,12.359,,,12.392,9.284,,9.725,,10.175,9.413,6.42,,,12.067,,9.697,,,,
2015-06-21,,,,,,,11.442,11.666,,,,10.872,,12.65,13.651,5.492,,,9.227,,11.887,12.882,14.109,,12.179,,,12.104,10.026,,10.554,,11.045,9.198,7.18,,,11.53,,11.093,,,,
