num_sites,gap_length,missing_fraction,experiment_name,imputer_name,imputer_details,RMSE,MAE
6,7,2.760666210358202,LinearImputer()_missing90_sites6_gaplen7,Linear,LinearImputer(),0.03584851855462081,0.0008386113604892922
6,14,2.897558749714807,LinearImputer()_missing90_sites6_gaplen14,Linear,LinearImputer(),0.06374483949213597,0.0024498362208568124
6,21,3.034451289071412,LinearImputer()_missing90_sites6_gaplen21,Linear,LinearImputer(),0.07626604628299696,0.0036536933510760493
6,35,3.285420944558522,LinearImputer()_missing90_sites6_gaplen35,Linear,LinearImputer(),0.12034013405215763,0.007398848826450981
6,56,3.6276522929500343,LinearImputer()_missing90_sites6_gaplen56,Linear,LinearImputer(),0.14748721738510415,0.011101262535135065
6,91,4.198037873602555,LinearImputer()_missing90_sites6_gaplen91,Linear,LinearImputer(),0.3415581343860632,0.033324979555095176
12,7,2.8747433264887063,LinearImputer()_missing90_sites12_gaplen7,Linear,LinearImputer(),0.04061768693527656,0.0013793962085066397
12,14,3.112675597275187,LinearImputer()_missing90_sites12_gaplen14,Linear,LinearImputer(),0.08353467803609066,0.004278205397537889
12,21,3.4451289071412274,LinearImputer()_missing90_sites12_gaplen21,Linear,LinearImputer(),0.10234859741281271,0.006729113019261443
12,35,3.9633649489912326,LinearImputer()_missing90_sites12_gaplen35,Linear,LinearImputer(),0.1409152094816997,0.01158694531415295
12,56,4.722792607802875,LinearImputer()_missing90_sites12_gaplen56,Linear,LinearImputer(),0.18211832933389555,0.019317259904403406
12,91,5.967862846712949,LinearImputer()_missing90_sites12_gaplen91,Linear,LinearImputer(),0.428269275073535,0.05990950892001839
18,7,3.0116358658453115,LinearImputer()_missing90_sites18_gaplen7,Linear,LinearImputer(),0.047001635562886265,0.0018765540335333856
18,14,3.386460675988397,LinearImputer()_missing90_sites18_gaplen14,Linear,LinearImputer(),0.11326375059775862,0.006719254293366162
18,21,3.8558065252110425,LinearImputer()_missing90_sites18_gaplen21,Linear,LinearImputer(),0.1839935621631119,0.012630160187140046
18,35,4.6478276457742576,LinearImputer()_missing90_sites18_gaplen35,Linear,LinearImputer(),0.21170789259436446,0.02064037276420603
18,56,5.7136338450506825,LinearImputer()_missing90_sites18_gaplen56,Linear,LinearImputer(),0.33867536919831176,0.040305290965974745
18,91,7.7409471659985005,LinearImputer()_missing90_sites18_gaplen91,Linear,LinearImputer(),0.6263204522007189,0.10939773714685534
6,7,2.760666210358202,KNNImputer(n_neighbors=7)_missing90_sites6_gaplen7,KNN,KNNImputer(n_neighbors=7),0.025029639242726744,0.0007382480495268552
6,14,2.897558749714807,KNNImputer(n_neighbors=7)_missing90_sites6_gaplen14,KNN,KNNImputer(n_neighbors=7),0.04029716975315207,0.0017279360392284675
6,21,3.034451289071412,KNNImputer(n_neighbors=7)_missing90_sites6_gaplen21,KNN,KNNImputer(n_neighbors=7),0.05829147852991842,0.0027438233505648014
6,35,3.285420944558522,KNNImputer(n_neighbors=7)_missing90_sites6_gaplen35,KNN,KNNImputer(n_neighbors=7),0.1082523729059751,0.00564042569209616
6,56,3.6276522929500343,KNNImputer(n_neighbors=7)_missing90_sites6_gaplen56,KNN,KNNImputer(n_neighbors=7),0.11047610036525614,0.007583866417694471
6,91,4.198037873602555,KNNImputer(n_neighbors=7)_missing90_sites6_gaplen91,KNN,KNNImputer(n_neighbors=7),0.10814516008825374,0.009211618819657543
12,7,2.8747433264887063,KNNImputer(n_neighbors=7)_missing90_sites12_gaplen7,KNN,KNNImputer(n_neighbors=7),0.0354441466242511,0.0013856009522567989
12,14,3.112675597275187,KNNImputer(n_neighbors=7)_missing90_sites12_gaplen14,KNN,KNNImputer(n_neighbors=7),0.06066328517470675,0.0033264201241246425
12,21,3.4451289071412274,KNNImputer(n_neighbors=7)_missing90_sites12_gaplen21,KNN,KNNImputer(n_neighbors=7),0.130350956188423,0.0071739704802769085
12,35,3.9633649489912326,KNNImputer(n_neighbors=7)_missing90_sites12_gaplen35,KNN,KNNImputer(n_neighbors=7),0.1550492638007183,0.011129013539173642
12,56,4.722792607802875,KNNImputer(n_neighbors=7)_missing90_sites12_gaplen56,KNN,KNNImputer(n_neighbors=7),0.14894641903922068,0.015933676631193272
12,91,5.967862846712949,KNNImputer(n_neighbors=7)_missing90_sites12_gaplen91,KNN,KNNImputer(n_neighbors=7),0.1714696368497009,0.021837103733516598
18,7,3.0116358658453115,KNNImputer(n_neighbors=7)_missing90_sites18_gaplen7,KNN,KNNImputer(n_neighbors=7),0.04124349910793269,0.001983467850834347
18,14,3.386460675988397,KNNImputer(n_neighbors=7)_missing90_sites18_gaplen14,KNN,KNNImputer(n_neighbors=7),0.07694212671588518,0.004954070390605692
18,21,3.8558065252110425,KNNImputer(n_neighbors=7)_missing90_sites18_gaplen21,KNN,KNNImputer(n_neighbors=7),0.17904369434112857,0.011606050609910955
18,35,4.6478276457742576,KNNImputer(n_neighbors=7)_missing90_sites18_gaplen35,KNN,KNNImputer(n_neighbors=7),0.17849630009929,0.016636808251858502
18,56,5.7136338450506825,KNNImputer(n_neighbors=7)_missing90_sites18_gaplen56,KNN,KNNImputer(n_neighbors=7),0.30672484258880955,0.03261380824937575
18,91,7.7409471659985005,KNNImputer(n_neighbors=7)_missing90_sites18_gaplen91,KNN,KNNImputer(n_neighbors=7),0.3019766028664393,0.046659007713252126
6,7,2.5560754479864456,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites6_gaplen7",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.016701998133747557,0.00028370277630487427
6,14,2.603202387764949,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites6_gaplen14",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.022271166213851026,0.000548438595759819
6,21,2.6503293275434525,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites6_gaplen21",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.032208233053326825,0.0008792928117180977
6,35,2.7434611371057325,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites6_gaplen35",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.04184643465647809,0.0015422197940490423
6,56,2.8837198864465163,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites6_gaplen56",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.05876053023340452,0.0026166570499244514
6,91,3.119354585339033,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites6_gaplen91",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.09436823761311741,0.004668515494434011
12,7,2.603202387764949,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites12_gaplen7",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.028098829190707653,0.0005758534055204858
12,14,2.6974562673219555,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites12_gaplen14",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.03733012894442863,0.0011408120517548727
12,21,2.791710146878962,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites12_gaplen21",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.046452703068815604,0.0017129707714775336
12,35,2.9790958359982493,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites12_gaplen35",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.06457554104737978,0.0028927685196230204
12,56,3.260735404674544,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites12_gaplen56",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.07717382118055328,0.00465818254386585
12,91,3.7320048024595773,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites12_gaplen91",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.11145963303342561,0.0075249351816285915
18,7,2.642474837580368,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites18_gaplen7",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.03234851496769173,0.0007679787332215979
18,14,2.7760011669527946,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites18_gaplen14",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.03464958409836663,0.0011893747431301277
18,21,2.9095274963252207,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites18_gaplen21",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.04802956964925427,0.0020184281835029932
18,35,3.2147305348907667,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites18_gaplen35",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.06883648430407667,0.0037469594444725952
18,56,3.6377509229025704,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites18_gaplen56",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.09427932419233848,0.006339989965771305
18,91,4.344655019580122,"MICEImputer(k_pmm=7,n_iterations=10)_missing90_sites18_gaplen91",MICE,"MICEImputer(k_pmm=7,n_iterations=10)",0.11850929178560311,0.010088976741341018
6,7,2.760666210358202,MissForestImputer(max_iter=10)_missing90_sites6_gaplen7,MissForest,MissForestImputer(max_iter=10),0.0449510732587221,0.000706796271209121
6,14,2.897558749714807,MissForestImputer(max_iter=10)_missing90_sites6_gaplen14,MissForest,MissForestImputer(max_iter=10),0.05352074558006854,0.001516874448672032
6,21,3.034451289071412,MissForestImputer(max_iter=10)_missing90_sites6_gaplen21,MissForest,MissForestImputer(max_iter=10),0.056099270291695036,0.0020537850428579826
6,35,3.285420944558522,MissForestImputer(max_iter=10)_missing90_sites6_gaplen35,MissForest,MissForestImputer(max_iter=10),0.06795652705066015,0.0033390918475769177
6,56,3.6276522929500343,MissForestImputer(max_iter=10)_missing90_sites6_gaplen56,MissForest,MissForestImputer(max_iter=10),0.07181377692262102,0.004430236865542529
6,91,4.198037873602555,MissForestImputer(max_iter=10)_missing90_sites6_gaplen91,MissForest,MissForestImputer(max_iter=10),0.08195820908667431,0.00663133972780732
12,7,2.8747433264887063,MissForestImputer(max_iter=10)_missing90_sites12_gaplen7,MissForest,MissForestImputer(max_iter=10),0.04992088113603638,0.0013108430104942022
12,14,3.112675597275187,MissForestImputer(max_iter=10)_missing90_sites12_gaplen14,MissForest,MissForestImputer(max_iter=10),0.0652636533846616,0.0026992367050253287
12,21,3.4451289071412274,MissForestImputer(max_iter=10)_missing90_sites12_gaplen21,MissForest,MissForestImputer(max_iter=10),0.09821571736624063,0.004870902260893042
12,35,3.9633649489912326,MissForestImputer(max_iter=10)_missing90_sites12_gaplen35,MissForest,MissForestImputer(max_iter=10),0.11585711794808452,0.007625852612866218
12,56,4.722792607802875,MissForestImputer(max_iter=10)_missing90_sites12_gaplen56,MissForest,MissForestImputer(max_iter=10),0.09044396986702967,0.008446101912915848
12,91,5.967862846712949,MissForestImputer(max_iter=10)_missing90_sites12_gaplen91,MissForest,MissForestImputer(max_iter=10),0.18042686222251433,0.01766307302781975
18,7,3.0116358658453115,MissForestImputer(max_iter=10)_missing90_sites18_gaplen7,MissForest,MissForestImputer(max_iter=10),0.05357831730902742,0.001742234366311744
18,14,3.386460675988397,MissForestImputer(max_iter=10)_missing90_sites18_gaplen14,MissForest,MissForestImputer(max_iter=10),0.0774237752743407,0.0040130678603920574
18,21,3.8558065252110425,MissForestImputer(max_iter=10)_missing90_sites18_gaplen21,MissForest,MissForestImputer(max_iter=10),0.19347383363830084,0.010219666166113674
18,35,4.6478276457742576,MissForestImputer(max_iter=10)_missing90_sites18_gaplen35,MissForest,MissForestImputer(max_iter=10),0.1418743190533036,0.012575393993387475
18,56,5.7136338450506825,MissForestImputer(max_iter=10)_missing90_sites18_gaplen56,MissForest,MissForestImputer(max_iter=10),0.3071343069991234,0.025705975098790634
18,91,7.7409471659985005,MissForestImputer(max_iter=10)_missing90_sites18_gaplen91,MissForest,MissForestImputer(max_iter=10),0.276478406695843,0.0363834693708881
