segment,waterbody,station,depth (m),deployment_start,deployment_end
Annapolis_Annapolis Basin_Cornwallis_2.0_2020-06-11_2020-11-22,Annapolis Basin,Cornwallis,2.0,2020-06-11,2020-11-22
Annapolis_Annapolis Basin_Lobster Ledge_2.0_2020-06-11_2020-11-22,Annapolis Basin,Lobster Ledge,2.0,2020-06-11,2020-11-22
Annapolis_Annapolis Basin_Lobster Ledge_6.0_2020-06-11_2020-11-22,Annapolis Basin,Lobster Ledge,6.0,2020-06-11,2020-11-22
Annapolis_Annapolis Basin_Lobster Ledge_4.0_2020-06-11_2020-11-22,Annapolis Basin,Lobster Ledge,4.0,2020-06-11,2020-11-22
Annapolis_Annapolis Basin_Cornwallis_1.0_2020-06-11_2020-11-22,Annapolis Basin,Cornwallis,1.0,2020-06-11,2020-11-22
Annapolis_Annapolis Basin_Cornwallis_1.0_2020-11-22_2021-06-16,Annapolis Basin,Cornwallis,1.0,2020-11-22,2021-06-16
Annapolis_Annapolis Basin_Cornwallis_2.0_2020-11-22_2021-06-16,Annapolis Basin,Cornwallis,2.0,2020-11-22,2021-06-16
Annapolis_Annapolis Basin_Lobster Ledge_6.0_2020-11-22_2021-06-16,Annapolis Basin,Lobster Ledge,6.0,2020-11-22,2021-06-16
Annapolis_Annapolis Basin_Lobster Ledge_4.0_2020-11-22_2021-06-16,Annapolis Basin,Lobster Ledge,4.0,2020-11-22,2021-06-16
Annapolis_Annapolis Basin_Lobster Ledge_2.0_2020-11-22_2021-06-16,Annapolis Basin,Lobster Ledge,2.0,2020-11-22,2021-06-16
Annapolis_Annapolis Basin_5005_1.0_2021-05-14_2021-06-18,Annapolis Basin,5005,1.0,2021-05-14,2021-06-18
Annapolis_Annapolis Basin_5006_1.3_2021-05-14_2021-06-18,Annapolis Basin,5006,1.3,2021-05-14,2021-06-18
Annapolis_Annapolis Basin_Lobster Ledge_4.0_2021-06-16_2022-06-20,Annapolis Basin,Lobster Ledge,4.0,2021-06-16,2022-06-20
Annapolis_Annapolis Basin_Lobster Ledge_2.0_2021-06-16_2022-06-20,Annapolis Basin,Lobster Ledge,2.0,2021-06-16,2022-06-20
Annapolis_Annapolis Basin_Lobster Ledge_6.0_2021-06-16_2022-06-20,Annapolis Basin,Lobster Ledge,6.0,2021-06-16,2022-06-20
Annapolis_Annapolis Basin_1042_0.5_2021-08-27_2022-05-23,Annapolis Basin,1042,0.5,2021-08-27,2022-05-23
