num_sites,gap_length,missing_fraction,experiment_name,imputer_name,imputer_details,RMSE,MAE
2,7,5.446367458687787,LinearImputer()_missing90_sites2_gaplen7,Linear,LinearImputer(),0.01983839670145821,0.0005309789343246592
2,14,5.583259998044392,LinearImputer()_missing90_sites2_gaplen14,Linear,LinearImputer(),0.033624654318443005,0.0016184565606498686
2,21,5.720152537400997,LinearImputer()_missing90_sites2_gaplen21,Linear,LinearImputer(),0.04914185475228436,0.0027080798693252224
2,35,5.9939376161142075,LinearImputer()_missing90_sites2_gaplen35,Linear,LinearImputer(),0.06701533402008329,0.004554849924273715
2,56,6.404615234184023,LinearImputer()_missing90_sites2_gaplen56,Linear,LinearImputer(),0.07201370707917475,0.006554937788502649
2,90,7.069521853916104,LinearImputer()_missing90_sites2_gaplen90,Linear,LinearImputer(),0.15324393560399624,0.016989182337695346
4,7,5.583259998044392,LinearImputer()_missing90_sites4_gaplen7,Linear,LinearImputer(),0.03144246493678756,0.001258519206939281
4,14,5.857045076757602,LinearImputer()_missing90_sites4_gaplen14,Linear,LinearImputer(),0.046118556825590816,0.002851211620542475
4,21,6.130830155470813,LinearImputer()_missing90_sites4_gaplen21,Linear,LinearImputer(),0.06379726012781431,0.004983473207915587
4,35,6.6784003128972325,LinearImputer()_missing90_sites4_gaplen35,Linear,LinearImputer(),0.12158637392258187,0.011854880903208041
4,56,7.460643394934976,LinearImputer()_missing90_sites4_gaplen56,Linear,LinearImputer(),0.11830741311225686,0.01379515315550338
4,90,8.819790749975555,LinearImputer()_missing90_sites4_gaplen90,Linear,LinearImputer(),0.29380945464521685,0.04290760220778808
6,7,5.720152537400997,LinearImputer()_missing90_sites6_gaplen7,Linear,LinearImputer(),0.03310085013152968,0.0015804419661296987
6,14,6.130830155470813,LinearImputer()_missing90_sites6_gaplen14,Linear,LinearImputer(),0.05184324292235776,0.003860484648216992
6,21,6.541507773540628,LinearImputer()_missing90_sites6_gaplen21,Linear,LinearImputer(),0.06994447356711218,0.006604206563779057
6,35,7.362863009680258,LinearImputer()_missing90_sites6_gaplen35,Linear,LinearImputer(),0.16825120543669034,0.0186732525586305
6,56,8.555783709787816,LinearImputer()_missing90_sites6_gaplen56,Linear,LinearImputer(),0.16984980409276848,0.022831873156662824
